No.     Time           Source                Destination           Protocol Length Info
   1336 27.611962      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 40998 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846246888 TSecr=20270583
   1337 27.614248      120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
   1338 27.614250      120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
   1339 27.615727      172.16.20.51          120.24.48.119         TCP      66     40998 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20270585 TSecr=3846246890
   1340 27.615732      172.16.20.51          120.24.48.119         TCP      66     40998 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20270585 TSecr=3846246890
   1341 27.646338      172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   1342 27.661374      120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
   1343 27.661377      120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
   1344 27.672847      172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
   1345 27.727210      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 40998 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846247003 TSecr=20270591
   1346 27.729266      172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
   1347 27.743010      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 40998 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846247019 TSecr=20270597
   1348 27.744147      120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
   1349 27.744152      120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
   1350 27.749637      172.16.20.51          120.24.48.119         TCP      66     40998 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20270599 TSecr=3846247019
   1351 27.755765      172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
   1352 27.755771      172.16.20.51          120.24.48.119         TCP      66     40998 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20270599 TSecr=3846247019
   1353 27.771083      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 40998 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846247046 TSecr=20270599
   1354 27.778014      172.16.20.51          120.24.48.119         TCP      66     40998 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20270601 TSecr=3846247046
   1355 27.999812      172.16.20.51          120.24.48.119         TCP      74     46195 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20270623 TSecr=0 WS=64
   1356 28.014814      120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 46195 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846247290 TSecr=20270623 WS=128
   1357 28.018267      172.16.20.51          120.24.48.119         TCP      66     46195 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20270625 TSecr=3846247290
   1358 28.046117      172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
   1359 28.062140      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 46195 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846247337 TSecr=20270628
   1360 28.064799      120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
   1361 28.064803      120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
   1362 28.066987      172.16.20.51          120.24.48.119         TCP      66     46195 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20270630 TSecr=3846247338
   1363 28.067034      172.16.20.51          120.24.48.119         TCP      66     46195 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20270630 TSecr=3846247338
   1364 28.084671      172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   1365 28.101380      120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
   1366 28.101384      120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
   1367 28.111311      172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
   1368 28.167178      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 46195 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846247442 TSecr=20270635
   1369 28.169604      172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
   1370 28.185972      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 46195 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846247461 TSecr=20270641
   1371 28.185977      120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
   1372 28.185979      120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
   1373 28.196746      172.16.20.51          120.24.48.119         TCP      66     46195 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20270643 TSecr=3846247461
   1374 28.204789      172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
   1375 28.204799      172.16.20.51          120.24.48.119         TCP      66     46195 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20270644 TSecr=3846247461
   1376 28.221128      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 46195 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846247496 TSecr=20270643
   1377 28.223381      172.16.20.51          120.24.48.119         TCP      66     46195 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20270646 TSecr=3846247496
   1378 28.507757      172.16.20.51          120.24.48.119         TCP      74     34063 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20270674 TSecr=0 WS=64
   1379 28.527211      120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 34063 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846247798 TSecr=20270674 WS=128
   1380 28.535096      172.16.20.51          120.24.48.119         TCP      66     34063 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20270677 TSecr=3846247798
   1381 28.552023      172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
   1382 28.573635      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 34063 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846247844 TSecr=20270679
   1383 28.575323      120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
   1384 28.575325      120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
   1385 28.586193      172.16.20.51          120.24.48.119         TCP      66     34063 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20270682 TSecr=3846247845
   1386 28.586202      172.16.20.51          120.24.48.119         TCP      66     34063 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20270682 TSecr=3846247845
   1387 28.608524      172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   1388 28.630576      120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
   1389 28.630579      120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
   1390 28.635005      172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
   1391 28.694831      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 34063 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846247966 TSecr=20270687
   1392 28.698793      172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
   1393 28.719937      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 34063 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846247990 TSecr=20270693
   1394 28.719944      120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
   1395 28.719947      120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
   1396 28.726165      172.16.20.51          120.24.48.119         TCP      66     34063 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20270696 TSecr=3846247991
   1397 28.730454      172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
   1398 28.732312      172.16.20.51          120.24.48.119         TCP      66     34063 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20270697 TSecr=3846247991
   1399 28.750899      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 34063 [FIN, ACK] Seq=2653 Ack=631 Win=31104 Len=0 TSval=3846248021 TSecr=20270696
   1400 28.752786      172.16.20.51          120.24.48.119         TCP      66     34063 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20270699 TSecr=3846248021
   1401 28.753305      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 34063 [ACK] Seq=2654 Ack=632 Win=31104 Len=0 TSval=3846248024 TSecr=20270697
   1402 28.995962      172.16.20.51          120.24.48.119         TCP      74     41308 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20270723 TSecr=0 WS=64
   1403 29.014864      120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 41308 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846248286 TSecr=20270723 WS=128
   1404 29.017574      172.16.20.51          120.24.48.119         TCP      66     41308 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20270725 TSecr=3846248286
   1405 29.050389      172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
   1406 29.070013      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 41308 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846248340 TSecr=20270729
   1407 29.072366      120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
   1408 29.072369      120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
   1409 29.073787      172.16.20.51          120.24.48.119         TCP      66     41308 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20270731 TSecr=3846248342
   1410 29.073912      172.16.20.51          120.24.48.119         TCP      66     41308 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20270731 TSecr=3846248342
   1411 29.125578      172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   1412 29.146227      120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
   1413 29.146229      120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
   1414 29.150454      172.16.20.51          120.24.48.119         TCP      66     41308 → cvc_hostd(442) [ACK] Seq=349 Ack=1779 Win=93440 Len=0 TSval=20270739 TSecr=3846248416
   1415 29.150458      172.16.20.51          120.24.48.119         TCP      66     41308 → cvc_hostd(442) [ACK] Seq=349 Ack=1848 Win=93440 Len=0 TSval=20270739 TSecr=3846248416
   1416 29.160831      172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
   1417 29.221095      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 41308 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846248492 TSecr=20270740
   1418 29.236505      172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
   1419 29.257160      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 41308 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846248527 TSecr=20270747
   1420 29.257164      120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
   1421 29.257168      120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
   1422 29.275919      172.16.20.51          120.24.48.119         TCP      66     41308 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20270750 TSecr=3846248528
   1423 29.275933      172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
   1424 29.282866      172.16.20.51          120.24.48.119         TCP      66     41308 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20270751 TSecr=3846248528
   1425 29.297100      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 41308 [FIN, ACK] Seq=2653 Ack=631 Win=31104 Len=0 TSval=3846248567 TSecr=20270751
   1426 29.299086      172.16.20.51          120.24.48.119         TCP      66     41308 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20270754 TSecr=3846248567
   1427 29.304001      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 41308 [ACK] Seq=2654 Ack=632 Win=31104 Len=0 TSval=3846248575 TSecr=20270751
   1428 29.608677      172.16.20.51          120.24.48.119         TCP      74     42088 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20270784 TSecr=0 WS=64
   1429 29.628452      120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 42088 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846248899 TSecr=20270784 WS=128
   1430 29.638776      172.16.20.51          120.24.48.119         TCP      66     42088 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20270787 TSecr=3846248899
   1431 29.660872      172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
   1432 29.681083      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 42088 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846248951 TSecr=20270790
   1433 29.682985      120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
   1434 29.682988      120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
   1435 29.684400      172.16.20.51          120.24.48.119         TCP      66     42088 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20270792 TSecr=3846248953
   1436 29.684496      172.16.20.51          120.24.48.119         TCP      66     42088 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20270792 TSecr=3846248953
   1437 29.699572      172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   1438 29.719922      120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
   1439 29.719924      120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
   1440 29.726501      172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
   1441 29.785943      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 42088 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846249056 TSecr=20270796
   1442 29.788058      172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
   1443 29.807805      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 42088 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846249078 TSecr=20270802
   1444 29.808833      120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
   1445 29.808836      120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
   1446 29.824225      172.16.20.51          120.24.48.119         TCP      66     42088 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20270805 TSecr=3846249078
   1447 29.824232      172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
   1448 29.824234      172.16.20.51          120.24.48.119         TCP      66     42088 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20270806 TSecr=3846249078
   1449 29.844830      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 42088 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846249114 TSecr=20270805
   1450 29.847358      172.16.20.51          120.24.48.119         TCP      66     42088 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20270808 TSecr=3846249114
   1451 30.131785      172.16.20.51          120.24.48.119         TCP      74     47662 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20270837 TSecr=0 WS=64
   1452 30.145554      120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 47662 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846249422 TSecr=20270837 WS=128
   1453 30.149839      172.16.20.51          120.24.48.119         TCP      66     47662 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20270839 TSecr=3846249422
   1454 30.163416      172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
   1455 30.178221      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 47662 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846249454 TSecr=20270839
   1456 30.180035      120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
   1457 30.180037      120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
   1458 30.184430      172.16.20.51          120.24.48.119         TCP      66     47662 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20270842 TSecr=3846249455
   1459 30.184840      172.16.20.51          120.24.48.119         TCP      66     47662 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20270842 TSecr=3846249455
   1460 30.239114      172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   1461 30.254763      120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
   1462 30.254765      120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
   1463 30.263938      172.16.20.51          120.24.48.119         TCP      66     47662 → cvc_hostd(442) [ACK] Seq=349 Ack=1779 Win=93440 Len=0 TSval=20270850 TSecr=3846249530
   1464 30.264061      172.16.20.51          120.24.48.119         TCP      66     47662 → cvc_hostd(442) [ACK] Seq=349 Ack=1848 Win=93440 Len=0 TSval=20270850 TSecr=3846249530
   1465 30.268654      172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
   1466 30.323854      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 47662 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846249600 TSecr=20270850
   1467 30.334703      172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
   1468 30.349911      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 47662 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846249626 TSecr=20270856
   1469 30.351497      120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
   1470 30.351499      120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
   1471 30.365054      172.16.20.51          120.24.48.119         TCP      66     47662 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20270860 TSecr=3846249626
   1472 30.373277      172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
   1473 30.373278      172.16.20.51          120.24.48.119         TCP      66     47662 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20270861 TSecr=3846249626
   1474 30.387924      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 47662 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846249664 TSecr=20270861
   1475 30.393581      172.16.20.51          120.24.48.119         TCP      66     47662 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20270863 TSecr=3846249664
   1476 30.710217      172.16.20.51          120.24.48.119         TCP      74     44105 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20270895 TSecr=0 WS=64
   1477 30.729609      120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 44105 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846250001 TSecr=20270895 WS=128
   1478 30.732106      172.16.20.51          120.24.48.119         TCP      66     44105 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20270897 TSecr=3846250001
   1479 30.750663      172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
   1480 30.771708      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 44105 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846250041 TSecr=20270899
   1481 30.772891      120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
   1482 30.772895      120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
   1483 30.774707      172.16.20.51          120.24.48.119         TCP      66     44105 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20270901 TSecr=3846250043
   1484 30.774715      172.16.20.51          120.24.48.119         TCP      66     44105 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20270901 TSecr=3846250043
   1485 30.796514      172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   1486 30.817832      120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
   1487 30.817836      120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
   1488 30.833166      172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
   1489 30.893926      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 44105 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846250165 TSecr=20270907
   1490 30.901746      172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
   1491 30.924835      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 44105 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846250194 TSecr=20270914
   1492 30.924841      120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
   1493 30.924844      120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
   1494 30.933983      172.16.20.51          120.24.48.119         TCP      66     44105 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20270917 TSecr=3846250194
   1495 30.949220      172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
   1496 30.949221      172.16.20.51          120.24.48.119         TCP      66     44105 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20270918 TSecr=3846250194
   1497 30.970965      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 44105 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846250241 TSecr=20270918
   1498 30.972465      172.16.20.51          120.24.48.119         TCP      66     44105 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20270921 TSecr=3846250241
   1499 31.256942      172.16.20.51          120.24.48.119         TCP      74     37959 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20270949 TSecr=0 WS=64
   1500 31.276705      120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 37959 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846250547 TSecr=20270949 WS=128
   1501 31.278211      172.16.20.51          120.24.48.119         TCP      66     37959 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20270951 TSecr=3846250547
   1502 31.296347      172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
   1503 31.317170      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 37959 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846250587 TSecr=20270953
   1504 31.319475      120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
   1505 31.319478      120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
   1506 31.320821      172.16.20.51          120.24.48.119         TCP      66     37959 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20270956 TSecr=3846250588
   1507 31.320977      172.16.20.51          120.24.48.119         TCP      66     37959 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20270956 TSecr=3846250588
   1508 31.342394      172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   1509 31.362959      120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
   1510 31.362962      120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
   1511 31.376264      172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
   1512 31.437368      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 37959 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846250707 TSecr=20270961
   1513 31.438645      172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
   1514 31.461012      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 37959 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846250730 TSecr=20270967
   1515 31.461018      120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
   1516 31.461020      120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
   1517 31.464987      172.16.20.51          120.24.48.119         TCP      66     37959 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20270970 TSecr=3846250730
   1518 31.467991      172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
   1519 31.467997      172.16.20.51          120.24.48.119         TCP      66     37959 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20270970 TSecr=3846250730
   1520 31.489920      120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 37959 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846250760 TSecr=20270970
   1521 31.494383      172.16.20.51          120.24.48.119         TCP      66     37959 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20270973 TSecr=3846250760
   1522 31.815177      172.16.20.51          120.24.48.119         TCP      74     44126 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20271005 TSecr=0 WS=64
   1523 31.829601      120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 44126 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846251106 TSecr=20271005 WS=128
   1524 31.831769      172.16.20.51          120.24.48.119         TCP      66     44126 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20271007 TSecr=3846251106
   1525 31.849048      172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
